"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Armenia","ARM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1045666606.85448","1244415584.41558","779688141.15716","729847643.457212","961398392.548806","913101627.206","894135832.286736","955405625.76437","1000634291.3776","919091316.86166","957156466.972861","968529888.660685","1096735501.87495","1391414378.76877","1605180991.65807","2098701566.40541","2482540336.16978","3570727480.48145","4697073302.10145","3684309605.1493","4157364605.55245","4757906586.64803","5139736819.01236","5471934333.89364","5481836306.66345","4427830382.31678","4464568367.68073","5646879065.80608","6612701455.26012","7570200592.04305","5062331396.33162","6048430236.02041","10207068193.8164","15094573226.6612","19840049652.433","",
"American Samoa","ASM","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","562000000","574000000","570000000","618000000","638000000","625000000","758000000","559000000","541000000","563000000","646000000","651000000","695000000","665000000","639000000","626000000","662000000","614000000","686000000","694000000","677000000","","","",
"Antigua and Barbuda","ATG","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","924222222.222222","853392592.592592","923581481.481481","970770370.37037","1132907407.40741","1180425925.92593","739748148.148148","866970370.37037","1175559259.25926","","","",
"Australia","AUS","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","2611840417.89447","2952320472.37128","2512160401.94566","2974720475.95528","3270400523.26408","3959200633.4721","4124960659.99371","4222400675.58411","4730880756.94092","4883200781.31213","5455520872.88334","5839680934.34895","6220794392.52337","7022421524.66368","11737656595.4311","14315171377.8506","14038081936.92","16144757972.0119","17265414581.9893","20687265704.8733","23827298050.1393","29570416811.7961","32610614586.7814","27657830161.6626","28996243474.9849","31190673250.0263","32912702853.9452","32314716781.3658","39231436371.1503","50821263276.5197","53060646565.2902","52680239945.8136","53341618613.5794","55746908375.4919","59676236596.3335","73019750519.7505","77631200583.3076","82133225648.4181","81674014786.6784","80794585787.6927","89663284607.9064","83770437082.2828","82017039226.4277","98900407687.8276","121992459809.361","145652868456.563","162450827269.882","186601240480.49","239715332950.148","211106497147.687","238100480913.207","285510760029.696","335367853143.349","335869075673.186","314156216978.941","291850364122.4","261827324555.529","277671313150.053","311861687284.904","306786753625.531","274154332727.111","284038962017.929","343078219088.328","387533147572.319","395749225409.455","",
"Austria","AUT","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","4222755226.25033","4883423835.22414","6036690874.45681","8127808700.54115","10716325824.4994","11418676621.6323","13387942778.2465","16661466156.0236","18958762437.2216","23982630983.016","28828885343.5439","25143197684.4652","23075815923.2072","23074389459.1696","22995356577.952","24397668262.8359","31708294727.3547","39047896168.916","44657532597.7934","47283386375.455","59578839404.5746","61623800824.9853","67252992737.2903","60542949248.7874","68853045416.2149","83696839088.3035","85017444762.1523","80519035967.9783","84196219430.8582","84520551775.0129","82889700573.0198","84769003459.8044","89249970295.3794","109674880759.846","132415630675.268","143550311539.15","158881044290.089","187479966356.112","210948589023.367","168155373268.152","187354745672.784","220838859461.654","209538729662.453","217963667008.11","222087325386.816","188716276454.947","192552851879.041","212566814420.159","238401029982.974","231731288458.933","209749421171.3","264636005985.36","294117763031.398","292777313124.176","284227859383.716","",
"Azerbaijan","AZE","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3484848484.84848","2202000000","242767527.675277","1193938484.62116","365437755.735643","1291025694.76464","1776337891.29477","2101809741.86871","2424528301.88679","1917520293.48339","2023510584.68024","2129887030.9465","3121181199.87986","4769352010.80084","6312226772.06379","7006931303.62029","8132229739.93922","9423346742.42883","11463815389.1093","10235225178.9351","10942312484.4256","15882135431.0447","17620935664.3268","19474571755.9694","19720098374.8264","18474102154.6726","16528818929.6131","17104502499.7749","17704999420.594","17712470588.2353","15537823529.4118","16336941176.4706","21274411764.7059","25016411764.7059","27338823529.4118","",
"Burundi","BDI","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","","","","","","","","","","","11422513916.902","12470410328.098","15284572449.8213","22015693438.2116","29348848384.4242","29954319403.3125","34320538140.0209","39904208216.0945","47131229665.6846","60077552283.9846","67141114636.5016","58814105823.555","55093659720.9959","52310487573.9645","53192322675.2304","52988261430.8037","66063110890.3739","80749672609.4003","92534612177.729","100782764127.764","122899593191.695","122855235676.314","132088996235.885","118889056669.776","134214479141.548","162055281882.868","161993745928.339","153905164636.897","156499555456.768","156514813408.186","165003474243.608","160904233210.669","168605250992.157","202551914317.803","243726488208.109","270950047193.152","297060116700.705","349267150580.942","414937621998.828","322739959901.836","357961529746.667","424362474851.168","400397837167.617","412266300213.295","425952025321.449","355884802917.226","376759269084.981","418056820188.001","460128692309.647","442788775443.921","411854672039.534","525242552932.162","571920929941.442","541280155476.676","534804947275.703","",
"Benin","BEN","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","27392931.4762288","22470097.8881596","23547276.9251727","29521377.126378","33034386.5030094","43212948.8252093","49061961.8359099","60547019.9467288","62251310.3584956","70874406.5167359","81609754.6678712","93259582.7959829","109969550.679458","130886433.37169","163593500.812373","226162498.384372","216705687.162128","260873185.254424","320872361.568629","439163941.3994","524469593.851615","567561866.310706","508205555.358072","345886016.984206","325136016.576985","383239093.31471","435776312.667196","483576069.85602","519824990.123577","372643204.18197","520152830.045727","602729540.381445","567957714.399145","748725748.468338","576481296.548688","790421147.797028","708783072.147658","715320152.690829","797921958.790615","1154049285.56866","941345994.062243","1040788979.38309","1008395973.11008","1228828001.90253","1324063349.9387","1353744164.69901","1527581986.81391","2211437454.14108","2509050412.39671","2412711824.80475","2704110555.34836","2819548390.78937","2990340508.51407","3959347660.28492","4495143318.07489","3648295538.29295","3709467045.80246","4352984748.39051","4923520743.9202","4900485060.17756","3915530456.1048","4799723188.71051","4106516764.69897","4851357175.5354","4683140133.79221","",
"Burkina Faso","BFA","Imports of goods and services (current US$)","NE.IMP.GNFS.CD","52340174.6105849","55303955.6348223","59614674.60058","61742268.3762032","47262650.2535327","48113638.5450975","50541598.8135743","62777882.9851454","70389672.7697367","79074219.5391521","73994563.6000506","96149801.9274703","123177198.744168","154654989.695036","183824251.385104","283412263.564162","263748239.834147","344381808.822477","409486698.018833","511997852.931223","602966202.763916","558238055.717459","554827918.018955","473268760.693225","419829292.408598","481677816.606485","589940831.90681","665476421.800553","709757473.822598","618479190.724753","758452847.747612","731992011.58168","655479337.64673","661457472.457898","474345780.209323","633116322.197919","714319725.936988","651175141.155085","789066173.756321","911820910.542789","780034955.169195","721473325.285311","813114613.713427","1002568390.43117","1341080287.75744","1495427536.1584","1581180859.76353","1786796468.4427","2385163308.31458","2505097431.05636","2887043504.96288","3781344358.33878","4351201289.56268","4968860980.95106","4446645106.4129","3902427857.57598","4103751193.78509","4629394216.11821","5166928258.63695","4994381288.40906","5133679370.81792","5835051415.32522","6760351772.06807","6877000995.68104","7387126425.77464","",
