"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Antigua and Barbuda","ATG","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","3.03672816486763","9.79786860230733","9.37000351348767","1.09358588013251","-12.2632115821435","12.4034116659342","10.6133810742948","-9.83196576363035","16.3401983629037","-1.15150629471547","-6.0314457318848","-6.9507180964336","-3.14368971912469","5.2116468195762","6.41953697533273","0.145350394146647","3.34548404643016","10.361661405816","6.84792609012248","5.63202684062374","4.80012804992909","-0.818727480424783","-2.78822053226091","5.97813859789579","6.42469478392471","-0.150452413324658","1.64631239593336","2.36977420535752","3.61394607701733","1.71887134318082","0.0843842182070915","-4.20351888049102","4.62508934793442","1.90207775349079","1.70967594813014","2.55877259773909","7.0841838220032","-0.126187109135259","-10.1336563278896","-0.0413008039720495","8.53905759759257","-0.354061145242341","-1.14172155562999","1.0380828488499","2.97209341369897","4.55949046909868","4.16035578490938","6.25001618954231","-0.585592752387981","-5.43251219462005","11.0000288428347","4.97793120284757","-10.3538841654039","-9.09531543034831","",
"Azerbaijan","AZE","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.6000311653908","55.1000139131179","111.39998537132","39.0000017952586","22.9999862625734","24.6859702780514","-11.739657993617","12.905373099735","87.6574560235596","72.5273308111117","25.0512034334462","-1.30194259948541","2.69053487656694","-9.30662163308541","1.59955478672396","-8.96096871067164","4.31451371176124","11.2697727459016","2.19999935776268","19.4473181866912","1.47873460742242","","","","","","","","","","","",
"Burundi","BDI","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","-2.04688259328294","-0.0803931512213154","11.8355756935037","10.2887966512934","-13.3444616448915","8.28817230762317","0.755374574732159","2.28593480756842","0.321335262486315","15.182536003016","-18.3056883627549","-7.52735182494285","-11.1086906771092","12.6847374104144","-3.1556824186107","5.56677986993512","9.23878318896061","18.8678025136812","10.8621480360506","7.67091011512152","-3.62622165948309","1.82913831338655","-2.95652502379717","3.76443400546846","4.11374147190928","0.415372869950431","7.67958216822355","1.53577593244036","3.81146352558315","7.18961689531508","-2.70387432227149","-4.71390472418656","0.302933015036075","10.6188449202122","8.16136143154903","3.69257034643447","8.72664131682168","2.03594559521723","-9.37168298717388","-0.308453018144107","9.38325718301496","-3.03018467781465","-2.97454104606858","4.3379580670972","4.11393821483668","6.8214126036066","1.06515130782874","5.60500716333013","0.0777609537783235","-6.54317194006006","3.38555898590013","6.90060668768973","-0.389428681211598","-0.242838936912335","",
"Benin","BEN","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","-0.876746556164576","-1.76954017128372","9.00858349881008","-9.91728620153658","-5.49550640165889","3.88413617872456","35.5132469415917","8.96609757723223","5.06319598780172","-6.62716403924954","-3.01414718591018","44.8530087404018","1.28866678196079","46.4916355549898","0.0789725381701487","1.89339486879044","-7.97429216725094","-5.58045146280956","43.1541444062277","36.6802538819844","13.7980412536283","43.0950303663292","-41.4360606270669","-26.1813430892149","-27.3356403719345","48.0952386722021","-7.23472304516585","5.19930570524647","-23.3006606147349","46.2135265718365","9.3642724138267","-2.42770139329276","5.80003164415355","0.73201794772892","38.1327109540827","-18.2779846571655","16.7119839986847","-6.14644473842316","17.5538249846447","-5.82767029419647","22.5196766946539","-12.1214391470429","6.42348197584937","6.68843608771157","-22.6514103619669","10.4526391786694","30.9474306037274","-8.79297923277427","11.8007356874552","8.67083242215409","5.11347951391599","4.98452151285504","40.6684099518049","9.23229093947022","13.9455123870415","1.56873505378132","24.7414437183254","15.9170371355238","10.0204384290287","1.86096695848978","17.8523758840658","-7.91962241562399","15.6832858689984","10.5197461946534","",
"Burkina Faso","BFA","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","0.00384322336475407","-6.33110520095853","5.40441851382134","20.5144472663119","4.25451827509885","40.9599564530761","27.5356130877897","17.0467445925481","10.6778673443089","-0.876767439497684","0.884522646053256","-8.77094190660773","3.36473148562067","-16.8121416251505","2.04574621504602","-0.202156240792348","30.7611687585798","-7.75967318447289","1.63217061304786","76.872489055598","-11.9019055893461","-4.93456606884764","7.34744407265313","5.25972286573962","1.11298181957682","14.180910459961","-10.2851504558025","0.933234723356449","24.9711231005167","-7.8624413064496","13.0447703494722","17.4084056732739","-3.45720336446746","-14.0878385052674","-11.5911910525608","6.62852862243066","1.66433530667298","19.5827301685158","5.02931954194241","25.8931566423102","-3.40044381326805","12.1610607863124","20.7291132535419","4.72040295404534","21.357429975709","10.8792557933343","21.2850426227535","-2.04855829505492","-10.8930668798486","13.7405720926162","15.2198173339059","12.4302651809866","10.8339037516988","11.227485535263","-1.51615158810323","-6.21144765185623","13.7205717035426","3.06532721957092","14.0815846534978","",
"Bangladesh","BGD","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","18.7649399807732","61.8886362335644","-23.4933790444393","25.2979330300954","11.8528702204626","4.24195308624142","12.8846945712349","34.9236284308052","-7.88347654274666","-7.07797878091324","-24.0847439873388","-55.642971436753","96.4808493575152","147.331646032913","-22.0889287735186","18.251090174993","26.2243356686008","25.8106537940109","11.378518993664","17.447236326136","22.8563360565927","8.59009276922811","4.51215854906701","9.95603573034269","5.9237765983186","5.61378997239007","10.2901200280199","1.53196366946648","4.9256150530328","5.51540957523522","2.45920259107859","4.00749256147674","11.1640026020164","9.23754348287866","9.60816265733666","11.9516758089947","6.45944540252268","9.11316358459835","8.58660159128588","7.11769036613586","7.93472180606334","7.42011277189299","7.65735399884753","8.20857983650676","9.76363989566505","9.88795337593726","7.14686747554698","9.81510592516896","7.38814464911232","8.56462188930213","9.56094712820754","10.5677295517183","5.36464179057943","9.85505132803732","7.11880073316722","8.90937215068219","8.35957365935379","12.1329012241134","6.88028023686613","3.94587170154608","8.09077914886846","11.653372524114","2.21095559607707","3.26628253503304","",
"Bulgaria","BGR","Gross capital formation (annual % growth)","NE.GDI.TOTL.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-17.7912299285409","887.575016970836","82.6460690655974","10.7097064588166","5.33178204813851","17.3360675770356","7.3087628031073","16.5080988049821","10.7717995726134","24.1810094367737","20.7484220221969","13.8007786148598","16.6212502859454","-24.1709954048264","-17.8833555755788","-3.27379216451531","3.08539109168481","-5.32370830328603","6.87086349505826","1.27373525713108","-4.51834797023096","6.47061902587001","9.40855523797876","3.05940884063737","-3.71575624684138","9.71619161820773","9.16956672093792","-12.7594850348195","5.27153689501658","",
