year,gdp_growth(%),gdp_growth_lag1(%),gdp_growth_lag2(%),household_consumption(%)_lag1,unemployment_rate(%)_lag1,under_earning_percentage(%)_lag1,inflation_rate(%)_lag1,lending_interest_rate(%)_lag1,fdi_net_flows(US$)_lag1,tax_revenue_percentage(%)_lag1,state_revenues_percentage(%)_lag1,gross_capital_formation_growth(%)_lag1,import_of_goods_and_services(US$)_lag1,export_of_goods_and_services(US$)_lag1,exchange_rate(IDR/US$)_lag1
1981,7.92715682412874,9.88007752166418,6.165775225605496,70.8342043361638,5.6209017248894195,89.16432113997175,18.035422125313,21.5041666666667,180000000.0,21.7798383565442,22.897655883835,24.3695584375575,16076492704.4529,22088390916.7354,626.993999998583
1982,2.24644534036375,7.92715682412874,9.88007752166418,76.5319192255724,5.620827029035107,88.92182878989536,12.2659075874853,21.5041666666667,133000000.0,21.9464341903122,25.4742998870935,12.3981033054196,21847220117.652,23629067626.4868,631.756666664167
1983,4.1929673681999,2.24644534036375,7.92715682412874,81.3347061842013,5.50400608009494,75.15052672530652,9.44542534921144,21.5041666666667,225000000.0,20.0561437871232,21.4899232969886,5.64782433363027,23709141548.5704,20176590280.0067,661.42074999925
1984,6.97552780884124,4.1929673681999,2.24644534036375,71.6666485747161,5.5654286652553,67.41954696241523,11.7997382076652,21.5041666666667,292000000.0,18.822865330757,21.0468183495799,627.499564037888,23354265849.655,22488286931.2596,909.264833332
1985,2.46214356422551,6.97552780884124,4.1929673681999,72.3527019762265,5.7440964346753915,86.2,10.4550392231412,21.5041666666667,222000000.0,17.4843891433901,21.5082913291398,52.5689545815395,19342945144.1934,23177770013.3423,1025.9448333315
1986,5.87504510359864,2.46214356422551,6.97552780884124,72.4249584040675,5.682875098257499,71.52742741844935,4.72453518543398,21.5041666666667,310000000.0,18.7508973741776,21.4810263426829,46.48689443673,17860217183.8139,20279853770.1021,1110.57999999967
1987,4.92592736496611,5.87504510359864,2.46214356422551,75.208760174712,5.595358971338046,60.27320061525518,5.82266576732484,21.5041666666667,258000000.0,14.620769821124,20.7945905199525,-3.99564155383828,16401727039.9031,16387068856.9447,1282.55999999975
1988,5.7804984881177,4.92592736496611,5.87504510359864,71.4115636584469,5.73731236887036,86.8,9.27865406602839,21.6666666666667,385000000.0,15.083694595844,19.8538819663042,-18.8967936574171,17006296443.198,18661070321.4196,1643.84833333333
1989,7.45658692516847,5.7804984881177,4.92592736496611,72.114453558219,5.629970972104677,67.66082839089665,8.04535671530907,22.0975,576000000.0,15.0839380513536,16.950870062095,-71.6213879931868,18725515167.3194,21110162564.1561,1685.70416666667
1990,7.24213163856464,7.45658692516847,5.7804984881177,69.3434267609416,5.659822294384139,66.73324971555355,6.41554079916364,21.6991666666667,682000000.0,15.9572018252866,17.4017119987654,22.9520614679608,21718472096.2059,24640067876.9285,1770.05916666667
1991,6.91198283591309,7.24213163856464,7.45658692516847,73.0242048454681,5.632944619497697,78.6,7.81919756505635,20.825,1093000000.0,19.1370837619352,20.2283059266697,103.268736461493,27157275246.8897,28982531183.3725,1842.81333333333
1992,6.49750651682714,6.91198283591309,7.24213163856464,73.3597068720977,2.617,69.43318962007831,9.41906784347004,25.5333333333333,1482000000.0,17.1896969094773,18.6480381199929,-33.2020980204549,30891188671.1508,33063806609.367,1950.3175
1993,6.49640812045304,6.49750651682714,6.91198283591309,72.3562197822494,2.734,65.35843286162851,7.52351006242677,24.0333333333333,1777000000.0,17.1229526962939,19.4875031023397,13.7443951286727,34720875699.535,38801726176.401,2029.92083333333
